site,day_of_month,month,year,text,species,count,areaTextMatch,visitId
Mersey Valley,13,May,2016,"Count: null, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,X,"Count: null, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS401944575
Mersey Valley,12,March,2016,"Count: null, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 6.437, area covered: null, trip comments: null, species comments: null",Stock Dove,X,"Count: null, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 6.437, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS380676883
Mersey Valley,9,January,2016,"Count: null, observerId: obsr508556, duration: 150, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,X,"Count: null, observerId: obsr508556, duration: 150, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS364652016
Mersey Valley,12,May,2016,"Count: null, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,X,"Count: null, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS401606081
Mersey Valley,11,January,2017,"Count: 2, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS456240030
Mersey Valley,26,March,2017,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS527912293
Mersey Valley,6,May,2017,"Count: 1, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS494933754
Mersey Valley,13,December,2017,"Count: 2, observerId: obsr508556, duration: 105, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr508556, duration: 105, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS556730855
Mersey Valley,22,July,2017,"Count: 1, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: , species comments: Jacksons Boat",Stock Dove,1,"Count: 1, observerId: obsr508556, duration: 120, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: , species comments: Jacksons Boat",URN:CornellLabOfOrnithology:EBIRD:OBS520300778
Mersey Valley,21,August,2017,"Count: 1, observerId: obsr508556, duration: 105, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: , species comments: Jacksons Boat",Stock Dove,1,"Count: 1, observerId: obsr508556, duration: 105, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: , species comments: Jacksons Boat",URN:CornellLabOfOrnithology:EBIRD:OBS526755341
